Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;max, 1 gång per dygn;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-01-01 00:00:00;2019-09-25 08:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-08-25 18:00:01;2019-08-26 18:00:00;2019-08-26;26.8;Y
2019-08-26 18:00:01;2019-08-27 18:00:00;2019-08-27;27.6;Y
2019-08-27 18:00:01;2019-08-28 18:00:00;2019-08-28;27.8;Y
2019-08-28 18:00:01;2019-08-29 18:00:00;2019-08-29;22.2;Y
2019-08-29 18:00:01;2019-08-30 18:00:00;2019-08-30;21.3;Y
2019-08-30 18:00:01;2019-08-31 18:00:00;2019-08-31;24.2;Y
2019-08-31 18:00:01;2019-09-01 18:00:00;2019-09-01;25.7;Y
2019-09-01 18:00:01;2019-09-02 18:00:00;2019-09-02;21.0;Y
2019-09-02 18:00:01;2019-09-03 18:00:00;2019-09-03;19.1;Y
2019-09-03 18:00:01;2019-09-04 18:00:00;2019-09-04;17.5;Y
2019-09-04 18:00:01;2019-09-05 18:00:00;2019-09-05;20.0;Y
2019-09-05 18:00:01;2019-09-06 18:00:00;2019-09-06;18.1;Y
2019-09-06 18:00:01;2019-09-07 18:00:00;2019-09-07;17.4;Y
2019-09-07 18:00:01;2019-09-08 18:00:00;2019-09-08;19.2;Y
2019-09-08 18:00:01;2019-09-09 18:00:00;2019-09-09;19.0;Y
2019-09-09 18:00:01;2019-09-10 18:00:00;2019-09-10;22.1;Y
2019-09-10 18:00:01;2019-09-11 18:00:00;2019-09-11;20.5;Y
2019-09-11 18:00:01;2019-09-12 18:00:00;2019-09-12;19.6;Y
2019-09-13 18:00:01;2019-09-14 18:00:00;2019-09-14;16.2;Y
2019-09-14 18:00:01;2019-09-15 18:00:00;2019-09-15;17.1;Y
2019-09-15 18:00:01;2019-09-16 18:00:00;2019-09-16;13.5;Y
2019-09-16 18:00:01;2019-09-17 18:00:00;2019-09-17;14.3;Y
2019-09-17 18:00:01;2019-09-18 18:00:00;2019-09-18;12.8;Y
2019-09-18 18:00:01;2019-09-19 18:00:00;2019-09-19;11.6;Y
2019-09-19 18:00:01;2019-09-20 18:00:00;2019-09-20;13.5;Y
2019-09-21 18:00:01;2019-09-22 18:00:00;2019-09-22;15.2;Y
2019-09-22 18:00:01;2019-09-23 18:00:00;2019-09-23;14.0;Y
2019-09-23 18:00:01;2019-09-24 18:00:00;2019-09-24;14.1;Y
